Имя файла                                                              Площадь листа (пиксели)        Площадь повреждения (пиксели)  Процент повреждения            
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG                          39272                           2030                         5.169077            
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG                          45935                           439                          0.955698            
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG                          30470                            91                          0.298654            
0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG                          31495                           101                          0.320686            
0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG                          37342                           1636                         4.381126            
0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG                          37548                           613                          1.632577            
0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG                          30666                           403                          1.314159            
0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG                          33198                           1760                         5.301524            
0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG                          42943                           1981                         4.613092            
0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG                          26217                           4618                        17.614525            
0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG                          28149                           7387                        26.242495            
0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG                          24893                           244                          0.980195            
0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG                          41892                           300                          0.716127            
0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG                          25321                           2550                        10.070692            
0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG                          29725                           1147                         3.858705            
0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG                          31319                           4143                        13.228392            
0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG                          45308                           6705                        14.798711            
1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG                          35715                           2888                         8.086238            
1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG                          35005                           102                          0.291387            
1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG                          28315                           987                          3.485785            
1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG                          32122                           6416                        19.973850            
1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG                          41133                           787                          1.913306            
1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG                          31732                           656                          2.067314            
1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG                          39704                           3830                         9.646383            
1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG                          42526                           5012                        11.785731            
1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG                          36896                           1205                         3.265937            
1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG                          40490                           663                          1.637441            
1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG                          33639                           5917                        17.589702            
1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406.JPG                          31570                           349                          1.105480            
1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG                          33126                           4445                        13.418463            
1f6abf22-93fa-48f0-a509-cc3e210f75f0___FREC_Scab 3172.JPG                          24393                           2727                        11.179437            
1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG                          33665                           248                          0.736670            
1f98b949-4df2-45cf-8572-3b4a753be21a___FREC_Scab 2907.JPG                          14559                           4722                        32.433546            
2a59761b-c91c-451c-8e13-d9dc3aff8d29___FREC_Scab 3503.JPG                          22987                           764                          3.323618            
2a800c84-902e-4aa8-af13-4e020d6f17dd___FREC_Scab 3124.JPG                          37538                           2779                         7.403165            
2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG                          38676                           2807                         7.257731            
2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG                          36363                           3156                         8.679152            
2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG                          37330                           271                          0.725958            
2bc50b52-0d7d-41a3-be8a-8d070341d87f___FREC_Scab 3476.JPG                          34653                           521                          1.503477            
2bfd8ee0-af6b-42fd-ae61-fc5e92ec1b67___FREC_Scab 2988.JPG                          38464                           2516                         6.541181            
2c648fcd-d637-4559-beaa-9dd6079646fb___FREC_Scab 3213.JPG                          25675                           5712                        22.247322            
2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG                          32472                           7454                        22.955161            
2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG                          23092                           740                          3.204573            
2d329823-7ad5-4189-89b7-4bdf24f9c393___FREC_Scab 3507.JPG                          22919                           580                          2.530651            
2d4c8a12-a34c-4c8b-b357-271d87532ece___FREC_Scab 3090.JPG                          41136                           2147                         5.219273            
2d5265d2-be99-4e9f-a085-d309cc01b751___FREC_Scab 3023.JPG                          24871                          12394                        49.833139            
2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG                          37755                           127                          0.336379            
2e264ee0-7679-4ad2-a19a-1ac4d2e84079___FREC_Scab 2984.JPG                          24044                           4284                        17.817335            
2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG                          32344                           1860                         5.750680            
