Имя файла                                                              Площадь листа (пиксели)        Площадь повреждения (пиксели)  Процент повреждения            
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG                          41119                           1519                         3.694156            
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG                          48252                           301                          0.623808            
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG                          30537                            0                           0.000000            
0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG                          31362                            0                           0.000000            
0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG                          37216                           1071                         2.877794            
0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG                          36685                           419                          1.142156            
0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG                          30032                           244                          0.812467            
0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG                          33071                           1264                         3.822080            
0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG                          45756                           2611                         5.706355            
0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG                          27282                           3509                        12.861960            
0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG                          30517                           7395                        24.232395            
0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG                          24227                            47                          0.193998            
0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG                          41774                           761                          1.821707            
0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG                          25733                           1857                         7.216415            
0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG                          29035                           1172                         4.036508            
0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG                          30919                           2642                         8.544908            
0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG                          44510                           4459                        10.017973            
1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG                          35205                           2253                         6.399659            
1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG                          35106                            50                          0.142426            
1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG                          30846                           792                          2.567594            
1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG                          32986                           3553                        10.771236            
1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG                          39375                           254                          0.645079            
1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG                          32550                           1047                         3.216590            
1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG                          38695                           1967                         5.083344            
1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG                          42677                           3642                         8.533871            
1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG                          35434                           482                          1.360275            
1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG                          40516                           366                          0.903347            
1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG                          33083                           3717                        11.235378            
