Имя файла                                                              Площадь листа (пиксели)        Площадь повреждения (пиксели)  Процент повреждения            
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG                          41415                           1582                         3.819872            
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG                          47788                           239                          0.500126            
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG                          30963                           321                          1.036721            
0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG                          34034                           1050                         3.085150            
0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG                          36905                           892                          2.417017            
0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG                          37009                           391                          1.056500            
0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG                          29171                           278                          0.953001            
0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG                          33269                           1064                         3.198172            
0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG                          44322                           1465                         3.305356            
0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG                          26518                           3169                        11.950373            
0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG                          30196                           6308                        20.890184            
0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG                          24406                            49                          0.200770            
0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG                          40499                           542                          1.338305            
0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG                          25463                           1686                         6.621372            
0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG                          28686                           874                          3.046782            
0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG                          31278                           2278                         7.283074            
0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG                          44144                           3933                         8.909478            
1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG                          34841                           1807                         5.186418            
1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG                          37577                           1461                         3.888017            
1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG                          31939                           929                          2.908670            
1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG                          31477                           3144                         9.988245            
